race_id,status,incumbent_party,notes
S-AL,open,R,Tuberville running for governor (verify)
S-IL,open,D,Durbin retiring
S-KY,open,R,McConnell retiring
S-MI,open,D,Peters retiring
S-MN,open,D,Smith retiring
S-NH,open,D,Shaheen retiring
S-NC,open,R,Tillis retiring
S-IA,open,R,Ernst retiring (verify)
H-MN-02,open,D,open: Craig departing (from the ratings list)
H-NH-01,open,D,open: Pappas departing (from the ratings list)
H-CA-48,open,R,open: Issa departing (from the ratings list)
H-NE-02,open,R,open: Bacon departing (from the ratings list)
H-AZ-01,open,R,open: Schweikert departing (from the ratings list)
H-MI-10,open,R,open: James departing (from the ratings list)
H-FL-22,open,D,open: Frankel departing (from the ratings list)
H-IA-02,open,R,open: Hinson departing (from the ratings list)
H-NC-11,open,R,open: Edwards departing (from the ratings list)
H-FL-07,open,R,open: Mills departing (from the ratings list)
H-ME-02,open,D,open: Golden departing (from the ratings list)
H-MT-01,open,R,open: Zinke departing (from the ratings list)
H-SC-01,open,R,open: Mace departing (from the ratings list)
H-TX-35,open,D,open: Casar departing (from the ratings list)
H-TX-23,open,R,open: VACANT departing (from the ratings list)
