race_id,rating,source,tier_code,n_sources,provenance
H-AL-01,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AL-02,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AL-03,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AL-04,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AL-05,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AL-06,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AL-07,Safe D,fixture_pvi_derived,3.0,,fixture
H-AK-01,Likely R,fixture_pvi_derived,-2.0,,fixture
H-AZ-01,Lean R,fixture_pvi_derived,-1.0,,fixture
H-AZ-02,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AZ-03,Safe D,fixture_pvi_derived,3.0,,fixture
H-AZ-04,Toss-up,fixture_pvi_derived,0.0,,fixture
H-AZ-05,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AZ-06,Lean R,fixture_pvi_derived,-1.0,,fixture
H-AZ-07,Safe D,fixture_pvi_derived,3.0,,fixture
H-AZ-08,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AZ-09,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AR-01,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AR-02,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AR-03,Safe R,fixture_pvi_derived,-3.0,,fixture
H-AR-04,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CA-01,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CA-02,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-03,Lean R,fixture_pvi_derived,-1.0,,fixture
H-CA-04,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-05,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CA-06,Likely D,fixture_pvi_derived,2.0,,fixture
H-CA-07,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-08,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-09,Likely D,fixture_pvi_derived,2.0,,fixture
H-CA-10,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-11,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-12,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-13,Lean D,fixture_pvi_derived,1.0,,fixture
H-CA-14,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-15,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-16,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-17,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-18,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-19,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-20,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CA-21,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-22,Likely D,fixture_pvi_derived,2.0,,fixture
H-CA-23,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CA-24,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-25,Likely D,fixture_pvi_derived,2.0,,fixture
H-CA-26,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-27,Lean D,fixture_pvi_derived,1.0,,fixture
H-CA-28,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-29,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-30,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-31,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-32,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-33,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-34,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-35,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-36,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-37,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-38,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-39,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-40,Lean R,fixture_pvi_derived,-1.0,,fixture
H-CA-41,Lean R,fixture_pvi_derived,-1.0,,fixture
H-CA-42,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-43,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-44,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-45,Lean D,fixture_pvi_derived,1.0,,fixture
H-CA-46,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-47,Lean D,fixture_pvi_derived,1.0,,fixture
H-CA-48,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CA-49,Lean D,fixture_pvi_derived,1.0,,fixture
H-CA-50,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-51,Safe D,fixture_pvi_derived,3.0,,fixture
H-CA-52,Safe D,fixture_pvi_derived,3.0,,fixture
H-CO-01,Safe D,fixture_pvi_derived,3.0,,fixture
H-CO-02,Safe D,fixture_pvi_derived,3.0,,fixture
H-CO-03,Likely R,fixture_pvi_derived,-2.0,,fixture
H-CO-04,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CO-05,Safe R,fixture_pvi_derived,-3.0,,fixture
H-CO-06,Safe D,fixture_pvi_derived,3.0,,fixture
H-CO-07,Lean D,fixture_pvi_derived,1.0,,fixture
H-CO-08,Toss-up,fixture_pvi_derived,0.0,,fixture
H-CT-01,Safe D,fixture_pvi_derived,3.0,,fixture
H-CT-02,Toss-up,fixture_pvi_derived,0.0,,fixture
H-CT-03,Likely D,fixture_pvi_derived,2.0,,fixture
H-CT-04,Safe D,fixture_pvi_derived,3.0,,fixture
H-CT-05,Toss-up,fixture_pvi_derived,0.0,,fixture
H-DE-01,Likely D,fixture_pvi_derived,2.0,,fixture
H-FL-01,Safe R,fixture_pvi_derived,-3.0,,fixture
H-FL-02,Safe R,fixture_pvi_derived,-3.0,,fixture
H-FL-03,Safe R,fixture_pvi_derived,-3.0,,fixture
H-FL-04,Safe R,fixture_pvi_derived,-3.0,,fixture
